stage_id,stage_order,date,repository,repository_branch,commit_sha,commit_message,milestone_name,judge_headline,project_phase,technical_maturity,lineage_relationship,previous_repository,transition_commit,model,model_family,satellite,orbit_type,dataset,training_samples,test_samples,forecast_horizon,input_features,physics_features,physics_mode,orbital_state_source,key_hyperparameters,w_x,w_y,w_z,w_clock,w_avg,p_x,p_y,p_z,p_clock,h0_x,h0_y,h0_z,h0_clock,aggregate_residual_mean,aggregate_residual_std,qq_outliers,qq_max_discrepancy,mae,rmse,three_d_mae,three_d_rmse,clock_mae,clock_rmse,sisre,official_selection_priority,selection_status,selected_model,problem_addressed,change_introduced,why_next_stage_was_needed,result,performance_change,limitation,next_step,evidence_source,evidence_commit,confidence,notes
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,OrbitIQ Pretrained Deep LSTM,Deep LSTM / Ensemble Trees,ISRO MEO2,MEO2,data/orbitiq/DATA_MEO_Train2.csv,195,48,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.6012,0.7287,0.6810,0.9611,0.7430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6292,NA,1.4215,1.4270,0.2262,NA,NA,P1 Candidate,evaluated,Pretrained LSTM,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","MEO2 OrbitIQ Pretrained Deep LSTM: W_avg=0.7430, 3D MAE=1.4215m; forward 8th-day prediction=0.0412m",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,Random Forest Baseline,Deep LSTM / Ensemble Trees,ISRO MEO2,MEO2,data/orbitiq/DATA_MEO_Train2.csv,195,48,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.6539,0.9270,0.5056,0.8727,0.7398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0610,NA,0.1577,0.2160,0.0104,NA,NA,P1 Candidate,evaluated,Pretrained LSTM,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","MEO2 Random Forest Baseline: W_avg=0.7398, 3D MAE=0.1577m; forward 8th-day prediction=NAm",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
STAGE-01H,8,2026-09-02 21:02:09,kmbeddedd/kkkk,origin/sumit,0d75e41,Add files via upload,Initial Desktop GUI Interface Prototype,Constructed initial desktop graphical interface for model demonstration,Phase A — Earlier Development,prototype,parallel experiment,NA,NA,Tkinter GUI Dispatcher,Desktop Application,GEO/MEO,GEO/MEO,data/orbitiq/,NA,NA,8th-Day Forward,CSV file selection,None,none,none,Tkinter UI layout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gui_prototype,app.py Desktop UI,Lack of user interface for interactive demonstration to competition judges,Added initial Tkinter desktop interface app.py for file upload and forecast visualization,GUI lacked a standardized backend inference engine and was coupled to deprecated file paths,Demonstrated standalone interactive desktop application on origin/sumit,Usability milestone achieved,GUI had no automated backend routing or support for dynamic satellite uploads,"Decouple frontend and backend, standardizing inference contracts in the NeuroNav repository",0d75e41:app.py source code,0d75e41,high,Frontend development initiated in parallel by Sumit
STAGE-02,9,2026-09-03 16:13:22,kmbeddedd/NeuroNav,neuronav/kunal,3f3610e,Rename project from Gaitonde to NeuroNav.,Initial NeuroNav BiLSTM Baseline & Project Rebrand,Forked legacy prototype into dedicated NeuroNav competition architecture,Phase B — NeuroNav Begins,baseline,direct continuation,kmbeddedd/kkkk,b44bba2,Standalone PyTorch BiLSTM,Recurrent Neural Network (PyTorch),PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,113,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror",None,none,none,"hidden_dim=64, num_layers=2, bidirectional=True, epochs=100",0.8351,0.8412,0.8390,0.8250,0.8351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2792,NA,5.6796,7.8920,0.4326,NA,NA,Initial Competition Baseline,baseline,Standalone PyTorch BiLSTM,"Migrating the project into a clean, dedicated repository for ISRO SIH PS-08 without legacy code clutter",Clean initial commit (b44bba2) importing Data_PS-08/; rebrand from Gaitonde to NeuroNav (3f3610e); pure PyTorch BiLSTM trainer,A single recurrent baseline struggled on complex non-linear dynamics; multi-model exploration was necessary,"GEO BiLSTM Baseline: W_avg=0.8351, 3D MAE=5.6796m, Clock MAE=0.4326m",Clean reproducible competition baseline established,GEO residuals exhibited high non-normality (W=0.8351); single-architecture hypothesis was unproven,"Conduct systematic multi-model benchmarking across recurrent, tree, kernel, and spectral families",b44bba2:outputs/metrics.json and 3f3610e:README.md,3f3610e,high,Direct continuation from kmbeddedd/kkkk; initial README titled Gaitonde then renamed NeuroNav
STAGE-02,9,2026-09-03 16:13:22,kmbeddedd/NeuroNav,neuronav/kunal,3f3610e,Rename project from Gaitonde to NeuroNav.,Initial NeuroNav BiLSTM Baseline & Project Rebrand,Forked legacy prototype into dedicated NeuroNav competition architecture,Phase B — NeuroNav Begins,baseline,direct continuation,kmbeddedd/kkkk,b44bba2,Standalone PyTorch BiLSTM,Recurrent Neural Network (PyTorch),PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror",None,none,none,"hidden_dim=64, num_layers=2, bidirectional=True, epochs=100",0.9575,0.9610,0.9520,0.9600,0.9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1610,NA,0.2789,0.3840,0.4632,NA,NA,Initial Competition Baseline,baseline,Standalone PyTorch BiLSTM,"Migrating the project into a clean, dedicated repository for ISRO SIH PS-08 without legacy code clutter",Clean initial commit (b44bba2) importing Data_PS-08/; rebrand from Gaitonde to NeuroNav (3f3610e); pure PyTorch BiLSTM trainer,A single recurrent baseline struggled on complex non-linear dynamics; multi-model exploration was necessary,"MEO BiLSTM Baseline: W_avg=0.9575, 3D MAE=0.2789m, Clock MAE=0.4632m",Clean reproducible competition baseline established,GEO residuals exhibited high non-normality (W=0.8351); single-architecture hypothesis was unproven,"Conduct systematic multi-model benchmarking across recurrent, tree, kernel, and spectral families",b44bba2:outputs/metrics.json and 3f3610e:README.md,3f3610e,high,Direct continuation from kmbeddedd/kkkk; initial README titled Gaitonde then renamed NeuroNav
STAGE-02,9,2026-09-03 16:13:22,kmbeddedd/NeuroNav,neuronav/kunal,3f3610e,Rename project from Gaitonde to NeuroNav.,Initial NeuroNav BiLSTM Baseline & Project Rebrand,Forked legacy prototype into dedicated NeuroNav competition architecture,Phase B — NeuroNav Begins,baseline,direct continuation,kmbeddedd/kkkk,b44bba2,Standalone PyTorch BiLSTM,Recurrent Neural Network (PyTorch),PS-08 MEO2,MEO2,Data_PS-08/DATA_MEO_Train2.csv,195,48,8th-Day Forward,"x_error, y_error, z_error, satclockerror",None,none,none,"hidden_dim=64, num_layers=2, bidirectional=True, epochs=100",0.8927,0.8890,0.8950,0.8940,0.8927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9935,NA,1.7208,2.1450,0.0249,NA,NA,Initial Competition Baseline,baseline,Standalone PyTorch BiLSTM,"Migrating the project into a clean, dedicated repository for ISRO SIH PS-08 without legacy code clutter",Clean initial commit (b44bba2) importing Data_PS-08/; rebrand from Gaitonde to NeuroNav (3f3610e); pure PyTorch BiLSTM trainer,A single recurrent baseline struggled on complex non-linear dynamics; multi-model exploration was necessary,"MEO2 BiLSTM Baseline: W_avg=0.8927, 3D MAE=1.7208m, Clock MAE=0.0249m",Clean reproducible competition baseline established,GEO residuals exhibited high non-normality (W=0.8351); single-architecture hypothesis was unproven,"Conduct systematic multi-model benchmarking across recurrent, tree, kernel, and spectral families",b44bba2:outputs/metrics.json and 3f3610e:README.md,3f3610e,high,Direct continuation from kmbeddedd/kkkk; initial README titled Gaitonde then renamed NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Random Forest,Ensemble Trees,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.8845,0.8920,0.8810,0.8750,0.8831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0104,NA,5.2140,7.3400,0.4120,NA,NA,Exploratory Search,candidate_evaluated,Random Forest,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"GEO Random Forest: W_avg=0.8831, 3D MAE=5.2140m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Harmonic Ridge,Linear Spectral,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.8520,0.8610,0.8490,0.8420,0.8510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5335,NA,6.1200,8.4500,0.4850,NA,NA,Exploratory Search,candidate_evaluated,Random Forest,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"GEO Harmonic Ridge: W_avg=0.8510, 3D MAE=6.1200m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Gaussian Process,Kernel Probabilistic,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.8910,0.8980,0.8850,0.8820,0.8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9157,NA,5.0500,7.1200,0.3950,NA,NA,Exploratory Search,candidate_evaluated,Random Forest,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"GEO Gaussian Process: W_avg=0.8890, 3D MAE=5.0500m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Transformer Forecaster,Self-Attention,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.8620,0.8710,0.8580,0.8510,0.8605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3718,NA,5.8400,8.0200,0.4420,NA,NA,Exploratory Search,candidate_evaluated,Random Forest,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"GEO Transformer Forecaster: W_avg=0.8605, 3D MAE=5.8400m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,BiLSTM-GRU Forecaster,Recurrent Neural Net,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.8351,0.8412,0.8390,0.8250,0.8351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2792,NA,5.6796,7.8920,0.4326,NA,NA,Exploratory Search,candidate_evaluated,Random Forest,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"GEO BiLSTM-GRU Forecaster: W_avg=0.8351, 3D MAE=5.6796m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Random Forest,Ensemble Trees,PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.9620,0.9650,0.9580,0.9630,0.9620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1415,NA,0.2450,0.3420,0.4120,NA,NA,Exploratory Search,candidate_evaluated,Gaussian Process,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"MEO Random Forest: W_avg=0.9620, 3D MAE=0.2450m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Harmonic Ridge,Linear Spectral,PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.9410,0.9480,0.9380,0.9450,0.9430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1801,NA,0.3120,0.4210,0.4890,NA,NA,Exploratory Search,candidate_evaluated,Gaussian Process,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"MEO Harmonic Ridge: W_avg=0.9430, 3D MAE=0.3120m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Gaussian Process,Kernel Probabilistic,PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.9680,0.9710,0.9640,0.9690,0.9680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1276,NA,0.2210,0.3150,0.3850,NA,NA,Exploratory Search,candidate_evaluated,Gaussian Process,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"MEO Gaussian Process: W_avg=0.9680, 3D MAE=0.2210m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,Transformer Forecaster,Self-Attention,PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.9510,0.9560,0.9480,0.9520,0.9518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1645,NA,0.2850,0.3920,0.4450,NA,NA,Exploratory Search,candidate_evaluated,Gaussian Process,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"MEO Transformer Forecaster: W_avg=0.9518, 3D MAE=0.2850m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-04,10,2026-09-03 18:34:59,kmbeddedd/NeuroNav,neuronav/kunal,c818f3e,Major Upgradations and Hybrid Model Addition,Multi-Model Family Benchmarking,"Benchmarked recurrent, tree, kernel, and spectral model families",Phase C — ML Experimentation,experimental,direct continuation,kmbeddedd/kkkk,NA,BiLSTM-GRU Forecaster,Recurrent Neural Net,PS-08 MEO,MEO,Data_PS-08/DATA_MEO_Train.csv,72,18,8th-Day Forward,"x_error, y_error, z_error, satclockerror, lag features",None,none,none,standard candidate tuning,0.9575,0.9610,0.9520,0.9600,0.9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1610,NA,0.2789,0.3840,0.4632,NA,NA,Exploratory Search,candidate_evaluated,Gaussian Process,Identifying the optimal inductive bias for GNSS ephemeris residual forecasting,"Implemented research/train_multi_model.py evaluating RF, Ridge, GP, Transformer, and BiLSTM",Feature engineering audit revealed temporal data leakage in rolling window calculations and scaler fitting,"MEO BiLSTM-GRU Forecaster: W_avg=0.9575, 3D MAE=0.2789m",Revealed significant performance diversity across model families,"Preprocessing fitted scalers and rolling aggregates on combined train+test data, causing lookahead leakage","Implement strict temporal leakage control: causal windowing, train-only scaling, and gap purging",c818f3e:research/train_multi_model.py,c818f3e,high,First multi-model comparison script in NeuroNav
STAGE-05,11,2026-09-04 04:14:43,kmbeddedd/NeuroNav,neuronav/kunal,0a6451a,Pipeline Leakage Control,Temporal Leakage Prevention & Causal Validation,Eliminated temporal data leakage with strict causal transforms and gap purging,Phase E — Scientific Validity Improves,validated,direct continuation,kmbeddedd/kkkk,NA,Random Forest (Leakage-Safe),Ensemble Trees,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"Strictly causal lags, train-only scaled features, chronological boundary enforcement",None,none,none,"gap_purging=True, train_only_scaling=True",0.8710,0.8790,0.8680,0.8620,0.8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1293,NA,5.4200,7.6100,0.4280,NA,NA,Verified Leakage-Free,validated_baseline,Random Forest (Leakage-Safe),Data leakage from lookahead features and non-causal standard scalers producing over-optimistic results,"Implemented research/train_multi_model_leakage_free.py with train-only scaling, gap purging, and disjoint validation","Even after purging leakage, GEO models suffered large error spikes due to unmodeled station-keeping excursion cycles","GEO Random Forest (Leakage-Safe): Realistic leakage-safe W_avg=0.8700, 3D MAE=5.4200m","Honest, scientifically rigorous baseline established",GEO orbit errors exhibited bimodal excursion regimes (>10m spikes) that generic regressors could not handle,Analyze GEO trajectory dynamics to identify station-keeping excursion regimes and build regime-aware models,0a6451a:research/train_multi_model_leakage_free.py,0a6451a,high,Eliminated all temporal lookahead leakage across preprocessing and evaluation
STAGE-05,11,2026-09-04 04:14:43,kmbeddedd/NeuroNav,neuronav/kunal,0a6451a,Pipeline Leakage Control,Temporal Leakage Prevention & Causal Validation,Eliminated temporal data leakage with strict causal transforms and gap purging,Phase E — Scientific Validity Improves,validated,direct continuation,kmbeddedd/kkkk,NA,Harmonic Ridge (Leakage-Safe),Linear Spectral,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"Strictly causal lags, train-only scaled features, chronological boundary enforcement",None,none,none,"gap_purging=True, train_only_scaling=True",0.8490,0.8560,0.8440,0.8380,0.8468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6259,NA,6.2800,8.6200,0.4950,NA,NA,Verified Leakage-Free,validated_baseline,Random Forest (Leakage-Safe),Data leakage from lookahead features and non-causal standard scalers producing over-optimistic results,"Implemented research/train_multi_model_leakage_free.py with train-only scaling, gap purging, and disjoint validation","Even after purging leakage, GEO models suffered large error spikes due to unmodeled station-keeping excursion cycles","GEO Harmonic Ridge (Leakage-Safe): Realistic leakage-safe W_avg=0.8468, 3D MAE=6.2800m","Honest, scientifically rigorous baseline established",GEO orbit errors exhibited bimodal excursion regimes (>10m spikes) that generic regressors could not handle,Analyze GEO trajectory dynamics to identify station-keeping excursion regimes and build regime-aware models,0a6451a:research/train_multi_model_leakage_free.py,0a6451a,high,Eliminated all temporal lookahead leakage across preprocessing and evaluation
STAGE-05,11,2026-09-04 04:14:43,kmbeddedd/NeuroNav,neuronav/kunal,0a6451a,Pipeline Leakage Control,Temporal Leakage Prevention & Causal Validation,Eliminated temporal data leakage with strict causal transforms and gap purging,Phase E — Scientific Validity Improves,validated,direct continuation,kmbeddedd/kkkk,NA,BiLSTM-GRU (Leakage-Safe),Recurrent Neural Net,PS-08 GEO,GEO,Data_PS-08/DATA_GEO_Train.csv,114,28,8th-Day Forward,"Strictly causal lags, train-only scaled features, chronological boundary enforcement",None,none,none,"gap_purging=True, train_only_scaling=True",0.8310,0.8380,0.8320,0.8210,0.8305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3603,NA,5.8200,8.0400,0.4410,NA,NA,Verified Leakage-Free,validated_baseline,Random Forest (Leakage-Safe),Data leakage from lookahead features and non-causal standard scalers producing over-optimistic results,"Implemented research/train_multi_model_leakage_free.py with train-only scaling, gap purging, and disjoint validation","Even after purging leakage, GEO models suffered large error spikes due to unmodeled station-keeping excursion cycles","GEO BiLSTM-GRU (Leakage-Safe): Realistic leakage-safe W_avg=0.8305, 3D MAE=5.8200m","Honest, scientifically rigorous baseline established",GEO orbit errors exhibited bimodal excursion regimes (>10m spikes) that generic regressors could not handle,Analyze GEO trajectory dynamics to identify station-keeping excursion regimes and build regime-aware models,0a6451a:research/train_multi_model_leakage_free.py,0a6451a,high,Eliminated all temporal lookahead leakage across preprocessing and evaluation
